Are you exhausted in the morning at the thought of another day at work?,How often do you feel worn out?,Do you feel that every working hour is tiring for you?,How often do you think: 'I can’t take it anymore'?,How often are you emotionally exhausted?,Does your work frustrate you?,How often do you feel tired?,Do you feel worn out at the end of the working day?,Do you have enough energy for family and friends during your leisure time?,How often are you physically exhausted?,How often do you feel weak and susceptible to illness?,Is your work emotionally exhausting?,Do you feel burnt out because of your work?,Total Score,Percentage Likely to Burnout
2,4,4,3,5,1,3,3,2,3,3,3,2,136,60.44444444444444
4,3,4,4,2,4,2,3,1,2,1,3,1,115,51.11111111111111
5,5,3,4,4,2,5,2,3,1,5,4,2,152,67.55555555555556
1,4,4,3,4,4,4,1,1,4,3,4,5,151,67.11111111111111
5,2,5,2,2,2,2,4,1,5,5,5,2,150,66.66666666666666
3,1,3,3,5,3,4,3,3,5,3,2,1,137,60.88888888888889
4,1,2,3,5,1,3,1,3,5,2,1,4,129,57.333333333333336
2,5,4,3,1,4,2,4,5,4,1,1,3,124,55.111111111111114
4,4,5,1,2,3,4,3,4,4,5,4,3,153,68.0
3,5,5,3,3,4,1,3,2,1,2,1,3,118,52.44444444444445
5,5,3,1,3,1,3,2,3,1,4,5,4,139,61.77777777777778
3,1,5,3,4,5,3,5,2,5,2,5,5,177,78.66666666666666
5,2,3,4,5,4,4,5,2,1,1,1,5,150,66.66666666666666
4,1,5,5,5,2,3,2,4,5,2,1,3,149,66.22222222222223
5,2,1,1,2,2,4,5,1,4,1,2,1,108,48.0
1,5,2,1,3,4,1,1,4,1,2,1,2,86,38.22222222222222
2,2,4,2,1,5,2,1,1,3,1,3,1,92,40.88888888888889
2,3,3,3,2,5,2,5,2,1,2,5,4,138,61.33333333333333
1,3,2,1,5,3,5,1,1,1,1,5,4,123,54.666666666666664
1,3,5,2,2,5,5,1,5,3,2,3,3,129,57.333333333333336
1,5,2,2,2,3,2,2,3,1,3,3,1,96,42.66666666666667
4,4,5,5,3,5,4,5,4,4,3,5,5,195,86.66666666666667
1,1,4,3,2,5,5,4,4,5,4,3,5,160,71.11111111111111
5,1,4,1,4,2,5,1,5,1,1,2,5,128,56.888888888888886
3,4,5,4,3,3,4,4,4,3,3,3,5,166,73.77777777777777
4,5,2,3,5,3,1,4,3,4,5,1,4,152,67.55555555555556
2,3,4,2,4,5,3,3,2,1,1,2,4,124,55.111111111111114
1,3,2,2,3,1,5,2,4,2,5,3,1,114,50.66666666666667
3,3,1,3,3,2,4,1,2,5,2,2,3,120,53.333333333333336
4,2,5,3,2,5,1,2,1,1,5,3,4,130,57.77777777777777
4,2,5,1,2,3,4,4,1,2,2,4,3,130,57.77777777777777
5,1,4,4,2,1,4,4,4,1,4,4,2,139,61.77777777777778
3,5,1,5,4,3,2,2,1,3,1,2,4,129,57.333333333333336
1,3,1,2,1,4,2,1,5,5,2,4,3,114,50.66666666666667
4,1,2,5,3,2,2,2,1,5,5,5,3,150,66.66666666666666
1,4,5,4,2,2,2,5,2,1,2,5,1,126,56.00000000000001
5,2,1,2,1,4,1,4,2,1,5,1,1,95,42.22222222222222
1,3,5,1,1,2,5,1,1,1,4,3,5,114,50.66666666666667
4,1,5,4,3,4,2,1,4,3,1,2,2,121,53.77777777777778
4,1,4,2,5,4,5,1,2,4,4,4,1,143,63.55555555555556
1,3,4,1,2,1,1,4,5,2,5,3,4,124,55.111111111111114
5,1,1,3,3,2,2,4,3,4,5,2,4,140,62.22222222222222
3,5,2,4,3,4,2,5,1,5,4,4,1,149,66.22222222222223
4,5,2,5,5,5,2,4,5,2,4,2,2,155,68.88888888888889
5,1,5,2,2,2,3,5,1,4,1,1,3,124,55.111111111111114
2,1,2,5,2,2,5,5,1,3,4,5,5,159,70.66666666666667
4,2,5,4,1,3,5,4,5,2,5,5,2,157,69.77777777777779
5,2,4,3,3,4,1,1,3,4,5,4,2,140,62.22222222222222
4,1,5,5,3,2,5,3,5,1,5,1,4,149,66.22222222222223
1,1,1,5,2,1,3,5,2,2,5,3,4,131,58.22222222222222
5,2,4,2,1,4,5,5,3,4,3,5,3,158,70.22222222222221
4,5,2,5,3,3,5,1,1,1,2,2,2,120,53.333333333333336
5,5,4,1,4,1,3,4,5,3,4,3,3,152,67.55555555555556
3,5,3,5,2,3,1,5,2,5,3,5,4,165,73.33333333333333
4,1,5,3,3,4,5,3,2,3,5,4,2,152,67.55555555555556
3,1,1,4,2,1,1,3,5,3,3,4,3,123,54.666666666666664
2,2,5,1,1,5,5,3,4,1,1,5,5,136,60.44444444444444
1,1,3,1,5,2,2,2,3,2,4,4,3,122,54.22222222222223
2,5,3,1,3,4,5,2,4,2,2,3,3,127,56.44444444444444
4,2,3,4,2,1,1,4,1,5,4,4,2,136,60.44444444444444
5,4,3,4,5,4,1,5,3,5,4,3,3,172,76.44444444444444
3,1,5,4,1,3,4,2,4,2,2,3,2,120,53.333333333333336
1,3,2,5,1,5,4,1,5,5,3,4,1,130,57.77777777777777
1,1,2,1,2,3,2,4,2,4,4,4,4,125,55.55555555555556
1,4,5,3,5,1,4,2,1,3,2,2,4,135,60.0
3,3,2,3,5,4,4,5,5,3,2,3,5,166,73.77777777777777
4,4,4,3,5,2,3,4,5,2,1,3,1,139,61.77777777777778
5,1,4,3,2,4,5,3,5,5,5,3,4,166,73.77777777777777
5,2,4,5,3,5,5,1,1,4,1,3,1,136,60.44444444444444
3,5,4,1,1,4,3,3,1,3,3,1,1,102,45.33333333333333
1,2,1,2,5,3,2,5,3,3,3,4,4,142,63.11111111111111
2,2,3,5,2,1,1,2,5,1,3,3,4,120,53.333333333333336
4,4,5,3,5,1,3,4,4,1,3,5,5,170,75.55555555555556
1,3,5,4,4,5,3,5,1,3,5,4,3,163,72.44444444444444
2,3,4,3,1,4,4,1,2,3,1,3,3,114,50.66666666666667
2,3,1,3,3,2,3,4,5,4,2,3,1,123,54.666666666666664
3,3,2,3,1,1,5,5,3,1,3,4,2,124,55.111111111111114
2,1,4,1,4,1,5,3,2,2,4,5,4,142,63.11111111111111
5,4,1,1,2,4,4,1,4,2,2,4,2,116,51.55555555555556
2,4,4,1,1,5,4,5,4,5,3,4,2,144,64.0
5,3,3,1,3,5,3,3,1,1,4,2,3,123,54.666666666666664
2,3,1,5,4,3,5,1,4,2,4,2,3,133,59.111111111111114
2,2,4,3,1,4,3,5,1,2,5,2,3,126,56.00000000000001
1,1,4,3,2,2,2,2,1,1,2,4,5,114,50.66666666666667
3,2,3,2,4,5,2,2,5,2,1,4,1,120,53.333333333333336
4,1,1,2,4,4,2,4,4,2,3,5,1,130,57.77777777777777
4,5,2,4,5,1,5,3,4,1,1,1,3,133,59.111111111111114
5,1,3,4,4,2,3,1,3,3,5,2,3,137,60.88888888888889
1,2,4,3,5,1,3,5,4,3,5,1,1,132,58.666666666666664
4,2,3,5,4,4,5,2,2,4,4,4,4,168,74.66666666666667
4,3,3,3,1,3,3,2,4,5,2,1,2,116,51.55555555555556
5,2,2,3,1,3,5,1,5,5,2,2,2,123,54.666666666666664
2,1,3,1,2,4,5,2,2,5,5,3,1,121,53.77777777777778
5,1,2,4,4,3,3,3,4,5,5,5,2,164,72.88888888888889
1,2,3,3,5,2,2,5,1,1,2,2,1,110,48.888888888888886
4,4,3,2,1,5,5,4,1,4,4,2,2,133,59.111111111111114
1,3,2,3,4,4,1,1,4,3,3,4,5,136,60.44444444444444
5,3,5,2,1,1,5,4,2,5,4,4,3,153,68.0
2,2,3,4,4,5,1,3,5,2,2,2,1,119,52.888888888888886
3,1,4,4,2,3,5,4,5,5,4,5,5,178,79.11111111111111
5,1,3,2,1,5,1,1,3,3,5,1,3,109,48.44444444444444
3,1,3,4,3,5,5,2,2,1,5,2,1,122,54.22222222222223
2,3,4,2,3,4,2,5,4,3,5,3,2,141,62.66666666666667
3,1,3,3,5,3,4,3,2,1,1,3,1,118,52.44444444444445
5,1,2,3,1,2,1,2,3,2,1,2,3,97,43.111111111111114
2,5,1,2,5,5,4,2,4,5,3,2,4,149,66.22222222222223
1,3,4,2,1,3,5,4,3,5,2,2,5,138,61.33333333333333
3,4,2,2,3,2,1,5,4,3,1,2,2,116,51.55555555555556
1,2,5,2,4,5,3,5,3,3,5,4,2,152,67.55555555555556
5,3,5,3,3,1,4,4,3,3,2,3,3,147,65.33333333333333
4,3,2,1,1,2,3,2,1,4,3,3,5,121,53.77777777777778
3,5,5,4,5,5,5,5,5,2,5,2,2,173,76.88888888888889
2,3,2,3,2,2,2,4,3,3,4,5,2,131,58.22222222222222
1,3,3,1,1,1,4,2,2,1,5,2,5,107,47.55555555555556
2,5,4,2,2,3,2,3,1,3,1,2,3,112,49.77777777777778
1,3,1,3,1,5,2,2,3,1,5,2,3,103,45.77777777777778
2,5,2,4,5,1,5,3,1,2,5,1,2,132,58.666666666666664
5,1,3,2,2,3,3,3,1,3,4,1,3,117,52.0
3,4,5,3,2,3,1,1,3,1,2,3,2,108,48.0
4,5,4,3,5,3,5,3,5,2,1,3,4,160,71.11111111111111
4,3,2,3,5,1,2,1,4,1,1,3,4,123,54.666666666666664
1,5,1,3,2,2,2,5,1,4,1,2,2,109,48.44444444444444
4,1,2,4,3,2,3,1,5,1,5,4,5,142,63.11111111111111
4,2,1,4,1,1,4,4,5,2,2,3,5,134,59.55555555555555
5,1,1,4,3,1,5,3,5,5,5,2,5,160,71.11111111111111
2,1,5,4,4,2,2,3,5,5,5,5,3,166,73.77777777777777
1,2,2,4,5,2,4,3,4,5,4,5,3,162,72.0
3,3,4,5,2,5,4,3,1,2,5,5,1,146,64.88888888888889
3,1,3,5,3,2,4,4,3,5,5,3,1,148,65.77777777777779
1,1,5,3,3,5,3,2,1,3,5,3,5,143,63.55555555555556
3,4,2,4,3,5,3,5,1,1,3,1,3,128,56.888888888888886
1,2,4,1,2,4,5,4,4,2,3,2,4,127,56.44444444444444
4,2,1,4,4,5,3,2,4,1,1,5,1,127,56.44444444444444
2,1,5,5,1,4,1,5,4,5,4,1,3,139,61.77777777777778
2,4,5,5,3,5,5,5,4,4,2,3,1,159,70.66666666666667
3,2,4,4,3,1,4,4,3,3,1,1,3,127,56.44444444444444
1,2,3,5,1,3,5,2,2,4,5,5,5,155,68.88888888888889
2,4,2,3,5,5,4,4,5,2,4,5,3,165,73.33333333333333
4,1,3,5,4,4,2,5,1,5,4,4,1,156,69.33333333333334
3,5,5,5,2,1,3,5,3,3,3,4,5,167,74.22222222222223
5,5,1,2,2,2,2,4,1,1,4,5,4,135,60.0
2,1,4,2,2,3,5,5,5,1,1,1,1,106,47.11111111111111
2,5,1,5,2,1,3,4,1,1,3,2,4,121,53.77777777777778
2,3,1,4,2,1,5,3,2,5,2,2,5,135,60.0
3,3,5,3,4,4,1,5,4,2,3,4,4,158,70.22222222222221
5,2,4,2,3,3,3,1,5,3,1,1,5,128,56.888888888888886
3,5,5,4,5,1,3,5,1,3,2,1,2,141,62.66666666666667
2,4,2,1,5,3,4,3,1,5,2,2,1,122,54.22222222222223
1,3,3,3,2,1,4,2,4,3,3,1,5,121,53.77777777777778
5,3,5,5,3,1,2,5,4,5,2,2,2,153,68.0
2,4,1,2,2,4,5,5,4,5,3,1,5,145,64.44444444444444
4,3,1,2,5,1,1,2,1,5,3,5,4,143,63.55555555555556
1,2,4,1,1,3,2,5,1,4,2,5,4,129,57.333333333333336
2,3,4,2,5,1,2,4,5,1,5,1,3,130,57.77777777777777
3,5,1,1,2,2,3,3,1,1,4,2,1,94,41.77777777777778
1,3,5,3,1,2,5,4,3,4,2,5,2,139,61.77777777777778
5,4,4,2,5,4,5,4,1,4,1,2,1,143,63.55555555555556
2,1,2,4,3,3,3,1,3,2,1,1,4,106,47.11111111111111
2,2,4,5,4,5,3,3,3,3,4,3,4,158,70.22222222222221
2,2,1,2,5,5,3,1,4,4,4,3,1,125,55.55555555555556
2,2,3,5,4,5,2,3,5,2,3,4,1,139,61.77777777777778
2,1,3,2,4,4,3,1,5,4,1,1,2,110,48.888888888888886
5,3,4,5,1,5,2,2,1,1,3,4,4,137,60.88888888888889
5,4,1,5,4,3,1,1,4,3,3,2,1,123,54.666666666666664
1,4,4,3,1,4,3,1,2,1,2,1,3,95,42.22222222222222
1,4,3,2,1,2,4,3,2,5,1,2,5,123,54.666666666666664
5,4,2,4,1,3,5,2,1,2,5,3,1,124,55.111111111111114
5,1,2,5,5,5,3,5,1,5,3,3,2,163,72.44444444444444
1,4,1,4,1,5,4,1,2,3,1,1,3,100,44.44444444444444
4,4,5,5,5,2,3,4,2,5,3,5,1,172,76.44444444444444
5,3,4,3,4,3,3,4,1,3,3,2,5,154,68.44444444444444
2,3,3,3,1,2,5,1,4,3,1,4,3,119,52.888888888888886
1,3,2,3,5,5,3,1,4,4,5,5,1,144,64.0
2,5,5,3,2,2,5,3,1,4,5,4,4,157,69.77777777777779
4,5,1,2,3,2,3,2,5,5,4,3,1,131,58.22222222222222
5,3,5,1,3,4,3,1,4,5,4,5,1,146,64.88888888888889
2,2,1,5,4,5,2,4,3,2,1,4,5,147,65.33333333333333
3,2,4,2,1,2,5,5,1,1,3,4,2,122,54.22222222222223
1,4,1,1,3,5,4,3,5,1,3,5,5,140,62.22222222222222
3,2,3,1,2,3,5,4,3,5,3,1,1,118,52.44444444444445
5,5,2,1,4,1,1,4,1,3,3,1,1,109,48.44444444444444
4,1,5,3,1,5,1,2,5,3,3,2,5,133,59.111111111111114
5,4,1,5,4,2,2,2,4,3,2,4,4,150,66.66666666666666
1,2,3,4,3,3,2,2,1,3,3,4,4,130,57.77777777777777
4,3,1,5,4,5,1,3,5,2,3,2,1,128,56.888888888888886
5,5,1,1,3,1,4,2,1,4,5,1,2,117,52.0
2,3,5,5,2,4,2,1,3,1,5,1,5,130,57.77777777777777
3,5,3,4,4,3,2,3,5,4,4,3,2,151,67.11111111111111
3,5,5,1,2,4,5,5,2,3,1,5,1,140,62.22222222222222
4,1,5,3,5,4,1,3,3,1,1,1,4,127,56.44444444444444
3,5,4,1,1,5,5,5,2,4,2,5,3,151,67.11111111111111
4,2,1,4,3,3,5,5,1,3,5,2,5,155,68.88888888888889
1,1,2,4,3,1,3,2,2,4,1,2,5,119,52.888888888888886
3,3,5,3,5,3,2,4,1,1,1,1,1,114,50.66666666666667
5,2,4,1,3,3,4,1,1,2,3,3,5,131,58.22222222222222
3,1,1,3,5,4,3,4,3,4,1,1,4,134,59.55555555555555
2,1,5,5,4,2,5,1,3,3,1,2,4,137,60.88888888888889
1,3,4,2,5,3,2,1,2,2,4,3,3,124,55.111111111111114
2,1,2,1,4,3,3,3,3,4,2,3,5,133,59.111111111111114
1,1,3,1,1,4,1,4,1,4,1,5,2,106,47.11111111111111
4,5,2,2,5,3,3,4,3,4,5,3,3,159,70.66666666666667
1,1,2,1,5,4,4,1,1,4,2,3,2,113,50.22222222222222
5,5,3,3,2,4,3,2,2,4,2,5,4,152,67.55555555555556
1,2,3,3,4,3,3,1,3,4,4,5,2,136,60.44444444444444
2,2,4,3,2,3,3,5,2,4,4,5,2,146,64.88888888888889
3,2,4,4,4,3,4,2,3,2,1,1,3,124,55.111111111111114
4,4,3,2,1,4,4,1,3,3,3,4,2,123,54.666666666666664
5,3,5,2,4,5,3,5,1,2,1,2,2,136,60.44444444444444
4,2,2,3,1,5,4,2,3,2,4,1,5,125,55.55555555555556
3,4,4,2,3,5,4,5,1,2,5,4,4,159,70.66666666666667
4,4,3,2,3,3,2,4,1,3,5,3,2,134,59.55555555555555
3,5,3,1,3,5,4,1,4,3,5,2,1,123,54.666666666666664
5,2,1,1,3,2,1,1,3,3,4,4,4,122,54.22222222222223
4,2,2,5,5,4,4,2,4,4,2,1,2,140,62.22222222222222
4,2,5,1,1,1,2,5,3,5,5,4,5,154,68.44444444444444
2,1,5,5,3,3,4,3,4,2,1,3,2,132,58.666666666666664
1,2,2,2,2,3,5,2,1,3,3,2,2,103,45.77777777777778
1,5,3,2,4,4,2,4,1,5,4,1,4,139,61.77777777777778
1,1,2,3,1,4,2,3,5,1,1,3,2,96,42.66666666666667
5,3,5,3,2,4,3,4,3,1,2,1,5,137,60.88888888888889
4,5,4,4,2,5,1,1,4,4,4,5,5,163,72.44444444444444
3,1,4,5,3,4,1,5,4,2,2,1,3,131,58.22222222222222
3,2,1,2,4,5,3,5,1,1,2,1,5,125,55.55555555555556
3,2,1,4,1,3,2,3,5,5,1,4,4,134,59.55555555555555
2,1,3,1,4,3,3,4,2,1,4,1,1,102,45.33333333333333
2,3,4,3,5,4,1,4,3,5,2,4,2,150,66.66666666666666
5,3,5,4,1,3,4,3,3,4,1,1,4,137,60.88888888888889
3,3,4,4,5,1,3,3,3,3,4,1,5,151,67.11111111111111
4,3,1,1,2,4,1,4,1,1,5,2,4,113,50.22222222222222
3,5,3,5,1,2,4,1,3,2,3,4,3,131,58.22222222222222
2,4,1,1,2,2,2,3,1,1,1,4,5,107,47.55555555555556
2,4,5,2,5,1,5,2,4,2,5,5,2,153,68.0
1,2,2,5,3,5,5,5,5,1,4,2,2,139,61.77777777777778
3,1,3,2,3,5,5,2,3,5,1,1,2,120,53.333333333333336
4,4,3,2,2,5,5,1,1,2,5,5,2,136,60.44444444444444
1,5,4,3,1,4,2,2,3,5,4,5,4,147,65.33333333333333
2,2,5,5,4,3,2,4,1,5,2,3,3,151,67.11111111111111
1,5,5,4,1,3,3,1,1,3,1,1,5,115,51.11111111111111
1,3,2,3,5,1,3,4,2,3,1,5,2,133,59.111111111111114
4,4,1,4,2,4,1,4,5,2,1,1,5,127,56.44444444444444
1,3,1,4,1,2,1,2,5,3,4,3,3,112,49.77777777777778
5,1,3,4,2,5,5,3,1,3,2,3,1,129,57.333333333333336
5,4,5,1,5,3,3,3,3,1,2,3,5,150,66.66666666666666
1,1,4,3,5,2,2,5,1,5,4,1,4,143,63.55555555555556
2,3,4,5,3,2,5,4,5,3,5,4,1,156,69.33333333333334
2,2,3,5,5,4,2,2,3,2,4,4,2,142,63.11111111111111
3,4,3,5,2,5,5,2,5,2,3,5,5,166,73.77777777777777
4,5,1,5,5,4,1,3,2,5,3,3,2,151,67.11111111111111
2,3,1,4,3,2,4,2,3,4,2,2,1,113,50.22222222222222
2,5,3,5,3,1,3,1,4,5,5,1,5,148,65.77777777777779
5,1,1,2,5,5,4,5,1,3,2,1,3,135,60.0
5,1,5,4,4,2,3,1,2,5,1,1,5,142,63.11111111111111
2,2,4,1,2,1,4,3,3,4,1,2,2,107,47.55555555555556
5,2,1,1,4,5,2,1,1,3,1,5,2,118,52.44444444444445
3,1,5,4,2,4,5,4,2,5,1,4,3,153,68.0
4,5,3,5,5,3,5,3,1,5,1,2,4,164,72.88888888888889
1,4,3,2,3,5,4,3,4,5,5,4,2,150,66.66666666666666
4,4,3,4,2,2,4,1,4,3,1,5,5,148,65.77777777777779
1,4,5,3,5,3,1,3,2,2,2,2,1,117,52.0
3,4,2,2,5,2,4,4,5,1,1,3,4,140,62.22222222222222
4,2,2,2,3,4,2,2,4,2,5,5,1,128,56.888888888888886
4,5,4,3,4,1,1,3,4,4,5,5,1,152,67.55555555555556
4,2,5,4,3,5,1,1,1,1,4,4,5,142,63.11111111111111
2,1,2,1,5,3,1,3,1,2,1,2,3,102,45.33333333333333
4,3,4,5,5,5,5,1,3,2,1,1,5,151,67.11111111111111
1,2,3,5,5,2,1,2,4,3,3,2,3,130,57.77777777777777
3,1,5,5,5,2,2,5,4,4,1,2,5,163,72.44444444444444
4,5,3,4,5,2,2,3,3,1,5,4,4,159,70.66666666666667
4,1,5,3,1,3,1,1,4,1,4,4,4,123,54.666666666666664
2,4,5,5,1,3,5,3,4,3,4,2,1,134,59.55555555555555
3,3,3,1,2,1,5,1,5,3,2,4,2,117,52.0
5,2,3,1,5,5,5,3,2,5,4,5,2,165,73.33333333333333
2,4,1,5,2,4,4,3,2,2,2,3,4,132,58.666666666666664
4,1,4,2,3,1,4,3,5,4,3,2,5,145,64.44444444444444
1,1,2,3,5,4,2,2,2,2,4,2,1,109,48.44444444444444
1,2,3,1,5,3,2,4,3,5,3,1,1,118,52.44444444444445
4,3,4,3,2,3,3,2,5,1,3,4,2,128,56.888888888888886
5,1,1,4,5,4,1,3,2,2,4,3,1,128,56.888888888888886
2,2,4,5,2,4,1,2,4,5,3,2,4,138,61.33333333333333
3,5,2,4,3,1,1,4,3,1,2,4,5,138,61.33333333333333
2,4,1,5,2,3,5,1,5,1,4,2,4,128,56.888888888888886
5,4,2,5,4,4,4,3,5,2,5,5,4,179,79.55555555555556
1,4,1,3,3,1,4,4,5,5,3,5,5,160,71.11111111111111
5,3,5,1,2,2,5,5,5,1,3,2,4,142,63.11111111111111
5,4,1,3,4,5,5,1,5,4,3,5,5,172,76.44444444444444
4,3,4,1,5,2,1,2,4,2,3,5,3,139,61.77777777777778
3,4,3,2,1,1,1,2,5,2,1,5,4,118,52.44444444444445
2,3,3,3,2,4,5,2,2,2,5,4,2,131,58.22222222222222
1,5,4,1,2,1,3,4,4,3,1,4,2,119,52.888888888888886
3,4,4,5,1,3,4,3,2,5,1,1,2,126,56.00000000000001
4,5,1,3,2,1,4,5,1,4,4,2,4,141,62.66666666666667
2,3,2,1,2,5,3,2,3,2,4,4,1,110,48.888888888888886
4,5,4,5,2,2,5,1,4,5,4,3,1,147,65.33333333333333
2,5,3,5,5,5,5,2,2,2,1,2,4,148,65.77777777777779
2,5,5,4,3,5,5,2,2,5,4,5,2,166,73.77777777777777
2,2,4,5,2,3,2,1,3,2,1,4,1,110,48.888888888888886
5,5,4,4,4,1,1,4,1,5,2,3,4,157,69.77777777777779
5,1,3,4,1,1,3,1,3,5,4,1,2,115,51.11111111111111
3,5,2,4,5,3,5,5,5,4,2,5,1,169,75.1111111111111
5,5,4,4,4,4,5,5,3,4,3,2,4,177,78.66666666666666
2,1,5,5,3,5,2,5,4,1,3,3,3,145,64.44444444444444
4,5,4,2,5,4,2,2,4,4,1,4,3,151,67.11111111111111
5,2,3,3,2,5,1,1,3,3,4,1,1,107,47.55555555555556
5,4,2,2,5,2,1,3,4,2,2,2,2,123,54.666666666666664
3,3,5,1,2,5,1,3,2,3,2,3,5,131,58.22222222222222
5,3,3,4,2,4,3,5,2,5,3,4,2,156,69.33333333333334
4,2,5,1,2,3,2,3,1,1,5,5,1,120,53.333333333333336
2,2,5,2,2,2,2,3,5,1,1,3,5,122,54.22222222222223
3,5,3,2,3,3,4,5,2,3,2,5,1,141,62.66666666666667
4,4,5,4,1,2,3,5,5,4,3,4,4,164,72.88888888888889
2,2,4,1,5,1,5,3,3,1,4,4,3,137,60.88888888888889
4,2,3,5,5,4,5,5,1,1,5,3,5,174,77.33333333333333
2,3,2,2,4,1,4,2,4,4,3,4,3,136,60.44444444444444
4,4,2,2,5,5,3,2,5,4,2,4,4,158,70.22222222222221
3,2,4,3,1,1,4,4,1,5,3,4,1,128,56.888888888888886
1,1,1,1,1,4,3,1,1,1,1,1,2,62,27.555555555555557
2,1,1,5,5,3,2,4,3,3,1,1,4,130,57.77777777777777
5,1,2,4,4,1,4,5,1,5,5,2,1,145,64.44444444444444
2,2,4,3,1,5,4,2,2,1,4,5,2,124,55.111111111111114
4,5,4,2,2,5,4,2,4,1,5,3,5,149,66.22222222222223
2,4,5,3,1,2,4,1,2,5,5,3,1,125,55.55555555555556
5,3,4,4,1,4,5,4,5,3,5,5,1,160,71.11111111111111
4,5,1,1,1,2,1,1,5,1,1,2,2,82,36.44444444444444
1,1,5,5,2,5,4,3,2,2,5,3,3,141,62.66666666666667
1,2,1,5,3,1,3,1,1,3,5,4,4,129,57.333333333333336
2,4,3,2,4,4,1,1,4,2,3,4,3,126,56.00000000000001
2,5,2,5,1,3,1,3,2,4,4,5,4,145,64.44444444444444
3,4,1,4,1,5,5,2,2,2,1,2,5,124,55.111111111111114
4,1,2,2,5,4,3,4,2,2,4,4,5,155,68.88888888888889
3,1,1,3,5,4,2,3,5,3,2,1,4,130,57.77777777777777
5,1,2,3,5,5,1,1,2,1,5,4,2,130,57.77777777777777
2,4,2,2,1,2,5,1,3,5,3,1,5,121,53.77777777777778
1,3,4,2,4,4,1,1,2,4,5,1,4,124,55.111111111111114
3,1,2,4,1,2,2,3,2,1,1,5,4,116,51.55555555555556
4,3,4,2,1,2,4,5,4,3,1,2,4,132,58.666666666666664
1,2,4,4,4,3,3,2,2,1,5,1,5,131,58.22222222222222
4,4,1,3,3,2,2,1,3,4,4,3,1,118,52.44444444444445
2,1,3,1,3,1,5,4,5,3,4,5,1,133,59.111111111111114
1,4,3,5,3,1,2,2,3,1,1,2,2,104,46.22222222222222
5,5,2,3,4,1,1,1,5,2,5,2,3,130,57.77777777777777
5,2,3,5,1,3,5,2,1,2,4,4,5,149,66.22222222222223
3,3,5,5,1,2,2,4,4,5,3,3,1,138,61.33333333333333
4,1,2,5,3,4,4,5,5,4,4,3,3,163,72.44444444444444
5,2,2,5,5,1,2,4,1,1,5,3,1,135,60.0
5,1,3,5,3,3,4,3,3,3,2,4,2,145,64.44444444444444
3,2,5,2,5,1,4,2,1,3,5,2,1,127,56.44444444444444
1,4,3,4,2,3,2,5,2,3,2,4,1,125,55.55555555555556
2,3,4,3,5,1,4,1,2,1,2,4,3,128,56.888888888888886
4,3,3,1,3,5,5,1,1,4,5,5,3,148,65.77777777777779
4,4,4,2,3,1,4,3,3,3,5,1,4,139,61.77777777777778
1,1,5,1,1,3,3,4,2,4,4,3,1,112,49.77777777777778
5,4,2,4,1,4,1,1,5,5,4,5,2,142,63.11111111111111
3,4,5,2,3,2,4,3,5,1,5,1,2,127,56.44444444444444
1,1,2,2,1,1,4,5,3,2,2,1,2,93,41.333333333333336
5,4,4,1,1,3,5,2,1,3,4,2,4,129,57.333333333333336
4,5,1,1,1,4,3,5,5,4,1,3,1,120,53.333333333333336
5,3,2,2,4,2,5,5,2,4,4,3,2,151,67.11111111111111
2,5,2,1,4,4,3,2,4,2,5,4,2,132,58.666666666666664
2,3,4,1,4,5,2,4,2,3,3,4,3,140,62.22222222222222
2,5,4,5,3,3,2,4,4,1,2,4,5,154,68.44444444444444
3,5,3,2,4,3,2,5,3,4,5,2,5,160,71.11111111111111
3,1,1,4,2,4,3,2,1,5,5,3,3,132,58.666666666666664
2,1,5,2,2,2,4,2,2,2,2,4,3,118,52.44444444444445
4,2,3,4,1,1,2,2,5,1,3,3,5,125,55.55555555555556
1,4,4,3,4,2,2,5,4,5,1,4,3,151,67.11111111111111
3,1,2,2,2,4,5,1,4,3,5,5,4,142,63.11111111111111
3,5,4,3,4,3,1,2,4,4,4,4,1,141,62.66666666666667
2,2,5,1,2,2,3,3,1,1,2,3,3,106,47.11111111111111
2,2,5,4,1,1,5,3,4,3,5,5,5,160,71.11111111111111
1,1,3,2,1,4,4,4,5,3,5,4,4,140,62.22222222222222
5,4,4,3,4,5,5,2,4,2,5,2,4,161,71.55555555555554
1,3,4,2,2,2,5,4,2,1,4,5,4,139,61.77777777777778
5,5,3,3,1,2,4,2,4,1,1,4,5,135,60.0
3,4,5,4,4,4,4,4,5,1,3,3,5,167,74.22222222222223
5,4,1,1,2,1,4,2,5,4,2,4,5,139,61.77777777777778
2,4,3,5,2,3,3,2,1,1,4,2,2,114,50.66666666666667
3,3,3,5,1,4,4,2,3,2,1,5,1,124,55.111111111111114
2,3,2,3,3,2,5,2,1,1,4,1,1,100,44.44444444444444
2,2,5,1,5,5,1,2,3,3,3,5,3,142,63.11111111111111
4,4,5,2,1,5,3,1,2,3,4,4,5,144,64.0
2,5,2,5,1,5,1,2,1,1,5,1,3,109,48.44444444444444
3,2,3,5,1,1,2,1,1,1,2,3,3,101,44.888888888888886
4,5,4,2,2,3,1,4,2,5,4,5,5,163,72.44444444444444
3,3,5,4,3,4,3,1,2,1,1,2,3,118,52.44444444444445
3,1,3,5,5,3,5,2,1,3,1,2,1,126,56.00000000000001
